1.000000000000000000e+00,5.586624308484416934e-01,1.988231674454900288e-01,2.237917538728434741e-01,3.828199484832041644e-01,1.945651301984623327e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.000000000000000000e+00,5.736703730076134766e-01,1.817147830223126148e-01,2.987112485958215991e-01,3.523308219459465596e-01,1.672431464359191433e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.000000000000000000e+00,5.820507202716765915e-01,1.698195492147935581e-01,3.107181396358252301e-01,3.840131768966373316e-01,1.354491342527440190e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.000000000000000000e+00,5.934709974256449083e-01,2.320930855490711819e-01,3.688423240252919344e-01,2.893189315906349313e-01,1.097456588350019385e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.000000000000000000e+00,6.068905077504518353e-01,1.833106406065050931e-01,3.786668186850351003e-01,3.308534787754386364e-01,1.071690619330211564e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.000000000000000000e+00,6.251027003341184107e-01,1.011900016946859909e-01,4.123700150667837794e-01,2.877776392298468933e-01,1.986623440086833503e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.000000000000000000e+00,6.462452757846305351e-01,9.114546068532421164e-02,3.633581128506166436e-01,3.871558131283611703e-01,1.583406133356979884e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.000000000000000000e+00,6.731938434573040420e-01,4.555455684051362697e-02,4.269167482134200164e-01,3.801588991090364966e-01,1.473697958370298322e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
9.000000000000000000e+00,7.144930711507915255e-01,1.522703052448407500e-02,4.810110673743471787e-01,3.668092654144914921e-01,1.369526366866773426e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+01,7.685271402749630498e-01,6.643438326058482071e-03,5.610434110224147286e-01,2.463753391142048943e-01,1.859378115373218621e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
