1.000000000000000000e+00,5.699606886268130390e-01,1.610721056151011854e-01,1.285731502865469222e-01,5.994450792783544146e-02,1.046563637205599473e-01,8.678217736444822361e-02,1.496627512522793191e-01,9.735844507631767619e-02,5.325771725336031492e-02,8.217259331464413230e-02,7.652018818890686525e-02
2.000000000000000000e+00,5.816456554154805225e-01,1.069383388862429757e-01,1.004699713194398408e-01,4.010849440002020594e-02,1.413639379984681643e-01,3.562329231716045153e-02,1.252151847386493155e-01,1.685456874072912281e-01,7.572208746029079895e-02,1.841250309064769997e-01,2.188797456596007843e-02
3.000000000000000000e+00,5.839230039311372744e-01,9.225004249782431387e-02,1.266581715465269764e-01,7.290087036617527716e-02,1.168080865143755059e-01,6.214341364022832326e-02,1.013058865002833542e-01,1.892086721466761379e-01,7.231509317932545422e-02,1.399374441553297432e-01,2.647231945325468835e-02
4.000000000000000000e+00,5.906737156025484436e-01,4.367586225959092100e-02,1.856195306931910094e-01,9.182409839955202324e-02,2.070033189407718965e-01,4.304250654879773069e-02,5.728913286954110534e-02,1.115434573505883070e-01,6.484793785673635680e-02,1.420879293535339816e-01,5.306622572769672391e-02
5.000000000000000000e+00,6.038498034431341033e-01,2.941098793308095580e-02,1.928514021429893477e-01,9.161301937191262956e-02,1.463017222026310182e-01,4.771482732143009220e-02,3.792108016111633145e-02,1.204694904553116064e-01,9.423124803969927521e-02,2.124315668842638172e-01,2.705465548756481528e-02
6.000000000000000000e+00,6.156703266910668049e-01,1.613922345797096786e-02,1.674853839719566140e-01,9.715745379466964038e-02,1.514553915664266504e-01,3.135685304029770665e-02,2.149767901161785816e-02,1.285497868869200921e-01,1.153808800913144472e-01,2.308931915543409319e-01,4.008415662448504974e-02
7.000000000000000000e+00,6.411820523247933057e-01,1.572241349078155187e-02,1.342032522630429159e-01,7.696955125102078465e-02,2.275554723415720293e-01,2.980309941654948891e-02,1.198638411834384958e-02,1.869760220037129383e-01,8.002155042792538642e-02,2.088891569900366285e-01,2.787309769701434847e-02
8.000000000000000000e+00,6.773485156567710108e-01,5.538722059235329578e-03,1.460025739047858817e-01,7.583521159409503665e-02,1.887651419298210509e-01,2.958882486799243455e-02,4.265143255234556466e-03,2.433369447722439349e-01,1.146931850526708707e-01,1.736589314645159698e-01,1.831532109940498670e-02
9.000000000000000000e+00,7.290226379286972591e-01,1.692313082845025738e-03,2.109488496499519750e-01,3.163655255554974344e-02,2.447689816623035697e-01,5.939964926946593449e-02,1.973522716025787830e-03,1.386599806222704179e-01,3.403002481836386872e-02,2.281872778530510126e-01,4.870284777017264838e-02
1.000000000000000000e+01,8.047986986579910296e-01,4.603397224815252201e-04,1.226818874137956816e-01,2.867769915568736325e-02,2.626326618517001443e-01,9.196815072190378526e-02,3.010445934370317603e-04,1.491601575949974279e-01,1.900518432147630873e-02,2.571746171562331318e-01,6.793825746828778545e-02
